REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,4V,2,44,26,30,12,3,1,0,47,1,1,0,0,8,4,61,4,7,22,3,33,2,13,1,4,1,165,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,5V,5,38,37,21,12,5,0,0,43,0,0,1,7,2,0,68,4,4,21,4,27,7,13,0,2,1,161,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,6V,3,28,42,33,7,5,1,1,41,2,4,0,2,5,6,55,2,1,28,2,32,1,17,0,6,0,161,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,7V,1,53,31,31,10,9,2,0,43,2,3,2,5,4,5,75,6,2,21,0,34,3,15,2,3,0,180,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,8V,4,44,36,23,10,7,2,1,34,3,1,1,4,10,5,67,4,4,21,1,31,3,3,1,5,0,161,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,9V,3,40,25,37,11,7,0,3,28,3,2,0,3,49,4,18,2,2,28,2,24,2,14,1,3,0,154,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,10M,1,35,28,24,4,6,1,0,30,1,1,1,2,6,26,3,2,1,3,38,1,23,2,20,0,0,129,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,11M,3,32,34,21,7,13,2,0,24,2,2,1,5,4,32,2,1,1,1,45,0,25,0,15,0,2,136,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,12M,0,36,29,22,5,8,1,0,42,1,0,0,3,5,29,1,0,31,3,33,4,19,0,12,0,2,143,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,13M,1,40,29,21,15,9,0,2,30,2,0,5,25,2,19,0,1,42,4,28,2,15,0,4,0,0,147,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,14M,3,41,32,18,3,12,2,1,27,3,0,3,5,6,20,2,1,56,0,22,1,18,1,4,0,1,139,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,15M,1,38,24,18,9,11,0,1,33,1,0,2,10,5,18,0,3,55,0,18,2,14,1,6,0,1,135,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,16M,0,51,44,24,6,8,0,0,44,0,1,6,15,14,4,30,3,49,0,29,4,15,1,5,0,1,177,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,17M,1,42,43,16,11,13,1,1,30,2,0,3,12,2,5,53,3,35,1,16,5,17,0,3,0,1,158,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,18M,0,40,34,15,4,4,1,1,16,2,3,0,43,6,7,15,6,18,7,4,1,2,0,2,1,0,115,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,1M,0,16,23,18,7,9,0,4,32,4,2,0,9,8,1,2,2,0,0,15,3,35,6,16,0,11,109,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
