REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,18V,4,26,44,37,15,16,1,3,23,4,1,5,2,58,2,6,4,5,26,2,24,1,29,1,3,0,169,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,19V,4,22,43,38,8,23,2,0,24,2,1,0,4,71,4,6,2,1,21,4,28,1,11,0,10,0,164,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,20V,1,24,47,33,14,19,2,1,28,3,1,1,6,74,2,7,3,0,22,2,29,1,16,0,5,0,169,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,21V,5,18,36,35,12,23,1,2,32,3,1,6,1,63,3,5,4,1,22,3,20,1,27,1,6,0,164,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,22V,4,19,41,25,8,17,3,1,10,4,2,3,5,32,4,12,0,2,22,1,26,4,12,1,2,0,128,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,23V,3,21,38,46,10,14,1,1,25,2,6,4,13,19,7,5,5,3,38,4,31,2,15,0,7,0,159,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,24V,1,21,46,45,13,19,1,2,15,3,2,4,12,25,12,3,4,3,33,5,36,3,15,0,6,0,163,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,25V,3,10,40,31,8,19,2,3,23,5,5,2,10,12,6,12,8,4,17,2,29,2,26,1,3,0,139,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,26V,2,11,29,47,10,17,2,1,29,3,2,7,9,19,7,4,4,5,29,3,34,4,14,1,7,0,148,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,27V,0,18,35,29,6,14,1,3,27,4,2,5,17,13,3,8,3,8,31,3,23,1,14,1,1,0,133,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,28V,2,16,28,32,8,13,0,1,19,1,1,0,10,6,6,5,1,2,29,2,29,1,19,0,8,0,119,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,29V,1,21,42,40,13,17,0,1,21,1,3,6,11,14,7,10,6,4,28,6,32,3,19,1,5,1,156,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,30V,5,20,34,45,14,16,2,2,17,4,2,3,11,16,6,8,6,7,33,4,34,4,14,1,5,1,155,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,31V,5,18,37,38,8,18,1,1,24,2,3,4,12,7,5,6,6,7,43,3,32,3,13,2,4,0,150,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,32V,1,23,35,36,6,13,0,6,14,6,7,1,13,15,6,4,1,2,35,3,24,3,14,1,6,0,134,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,33V,3,21,34,58,8,21,0,0,18,0,4,5,11,20,8,9,5,2,39,3,35,2,16,0,4,0,163,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,34V,1,11,44,43,8,22,0,0,23,0,7,4,18,11,5,8,5,6,34,6,26,2,11,0,9,0,152,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,35V,1,20,40,48,5,15,0,1,17,1,4,7,15,16,5,9,8,2,29,6,25,1,17,0,3,1,147,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,36V,3,27,61,39,7,20,1,1,21,2,2,5,24,21,17,14,5,4,31,2,26,2,25,1,1,0,180,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,37V,1,16,29,47,9,17,2,0,20,2,1,5,17,12,1,9,5,5,30,3,29,1,20,2,0,1,141,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,38V,0,24,37,38,8,12,2,2,26,4,4,2,9,12,7,3,10,3,26,7,39,3,15,1,8,0,149,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA EUFRASIA,39V,1,15,43,48,8,15,0,0,18,0,5,7,11,12,7,7,9,7,28,3,29,4,15,0,3,1,148,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,10M,1,25,27,46,22,17,0,0,21,0,1,7,5,5,26,10,11,4,1,23,0,38,2,17,0,9,159,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,11M,0,22,30,55,9,19,1,2,16,3,1,2,8,5,43,3,8,4,0,25,1,32,0,15,0,7,154,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,12M,3,22,24,41,17,12,1,3,16,4,1,5,7,4,32,5,1,4,1,34,2,29,0,7,0,7,139,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,13M,1,15,32,40,10,23,0,3,23,3,1,2,5,4,37,2,1,4,2,27,1,32,1,21,0,7,147,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,14M,0,20,32,43,15,18,0,2,18,2,2,2,6,2,36,2,3,4,3,23,3,29,1,19,0,13,148,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,15M,2,26,25,31,18,13,0,0,20,0,3,1,10,5,35,3,1,2,2,15,1,30,1,18,1,7,135,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,16M,2,22,19,40,10,25,0,3,16,3,1,2,5,5,34,5,4,3,1,37,1,20,2,15,0,2,137,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,17M,1,18,30,56,5,20,1,3,12,4,0,1,6,1,39,5,4,1,2,31,1,32,1,19,0,3,146,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,18M,3,30,30,41,10,24,1,0,21,1,3,4,3,7,37,2,3,3,1,26,2,29,4,28,0,8,160,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,19M,1,35,20,43,16,21,0,1,17,1,2,4,5,7,45,4,2,4,1,24,3,29,0,20,0,3,154,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,1M,2,9,21,49,12,18,2,1,21,3,2,1,11,4,9,3,1,3,4,9,23,18,17,21,3,6,135,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,20M,1,22,37,32,17,25,1,2,14,3,3,2,6,1,45,1,1,2,1,26,2,33,0,21,0,7,151,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,21M,3,13,28,47,21,22,0,1,18,1,2,2,7,5,36,3,0,5,2,36,1,31,0,15,0,8,153,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,22M,2,19,40,36,10,14,0,1,24,1,0,3,14,5,27,3,1,1,0,30,4,35,1,15,0,7,146,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,2M,0,14,28,45,17,15,0,0,15,0,2,4,8,4,4,1,12,2,21,22,12,20,2,14,1,6,134,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,3M,0,15,24,40,11,13,1,0,16,1,1,2,6,8,5,3,15,5,15,15,0,27,2,11,1,4,120,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,4M,3,27,28,42,9,13,0,0,17,0,1,3,1,6,5,7,35,1,2,23,1,21,1,22,0,10,139,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,5M,3,20,30,41,7,16,0,3,18,3,5,3,6,6,2,1,30,2,0,26,3,24,0,21,0,9,138,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,6M,1,24,16,37,14,20,0,0,27,0,0,2,3,2,3,2,41,4,1,21,0,17,0,31,0,12,139,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
