REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,40M,0,8,36,35,12,18,0,1,10,1,3,13,7,10,38,27,15,8,120,237,0.53,-0.27572413039921095,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,41M,3,4,43,26,8,21,1,0,17,1,4,21,6,3,39,29,13,8,123,237,0.73,-0.1366771398795441,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,42M,3,2,33,37,12,15,0,1,12,1,0,20,10,6,33,26,14,6,115,237,0.46,-0.3372421683184259,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,43M,5,11,36,35,7,26,0,0,16,0,3,16,4,23,51,20,17,1,136,237,0.15,-0.8239087409443188,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,44M,2,5,45,35,15,13,1,0,14,1,3,13,9,15,37,28,19,6,130,237,0.76,-0.11918640771920865,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,45M,3,9,59,28,10,23,1,0,18,1,5,21,11,16,41,33,14,12,151,237,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,46M,2,6,45,41,10,24,0,2,9,2,3,18,3,21,38,34,19,1,139,237,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,47M,2,3,42,31,5,13,1,1,13,2,3,15,8,2,28,30,21,4,111,237,0.65,-0.18708664335714442,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,48M,1,5,32,37,13,15,0,1,14,1,0,11,9,8,31,28,21,10,118,237,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,49M,0,9,39,26,7,23,0,1,15,1,1,21,4,2,38,36,13,5,120,237,0.3,-0.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
